id;Image;Nom;Référence;Catégorie;Prix de base;Prix final;Quantité;État
17051;http://www.convertiblecenter.fr/img/p/3/1/3/9/5/31395.jpg;Canapé convertible 2 places CALIMA - Largeur 174 cm - Couchage 120 cm;;Convertibles 2 places - 120 cm;2921.221370;1599;-5;1
11461;http://www.convertiblecenter.fr/img/p/2/7/6/1/8/27618.jpg;Canapé convertible 4 places CALIN - Largeur 216 cm - Couchage 160 cm;;Convertibles 4 places - 160 cm;2722.725540;1699;0;1
17713;http://www.convertiblecenter.fr/img/p/3/5/9/9/9/35999.jpg;Canapé convertible 3 places MILANO - Largeur 188 cm - Matelas 18 cm - Couchage 140 cm -  Sommier doubles lattes larges;;Convertibles 3 places - 140 cm;1990.416667;1099;0;1
17589;http://www.convertiblecenter.fr/img/p/3/2/8/7/2/32872.jpg;Canapé convertible 2 places CHIC - Largeur 170 cm - Couchage 120 cm;;Convertibles 2 places - 120 cm;3125.316667;1499;0;1
11951;http://www.convertiblecenter.fr/img/p/3/0/5/2/7/30527.jpg;Canapé convertible 2 places DIJON - Largeur 168 cm - Couchage 120 cm;;Convertibles 2 places - 120 cm;1665.835040;879;-7;1
17722;http://www.convertiblecenter.fr/img/p/3/6/2/5/7/36257.jpg;Canapé convertible 4 places PAOLA - Largeur 200 cm - Couchage 160 cm;;Convertibles 4 places - 160 cm;2490.400000;1549;0;1
64;http://www.convertiblecenter.fr/img/p/1/1/1/9/2/11192.jpg;Pouf carré;;Pouf carré;580.250000;349;-11;1
17598;http://www.convertiblecenter.fr/img/p/3/3/2/0/8/33208.jpg;SMILE - Largeur 230 cm - Canapé d'angle convertible - Méridienne à droite - Couchage 120 cm;;Angles convertibles 4 places - 120 cm;3498.333333;2099;0;1
12751;http://www.convertiblecenter.fr/img/p/3/1/7/6/8/31768.jpg;Canapé convertible 2 places MONICA - Largeur 168 cm - Couchage 120 cm;;Convertibles 2 places - 120 cm;3066.249890;1399;-3;1
17730;http://www.convertiblecenter.fr/img/p/3/6/4/1/0/36410.jpg;Canapé convertible 2 places PIAZZA - Largeur 160cm - Couchage 120 cm;;Convertibles 2 places - 120 cm;2057.083333;1399;-1;1
4411;http://www.convertiblecenter.fr/img/p/3/4/6/8/9/34689.jpg;Matelas Excellence 160 x 190 pour convertible d'une densité de 55KG/M3 - Garanti 5 ans;;Matelas quotidien 55KG/M3;494.166667;599;44;1
17633;http://www.convertiblecenter.fr/img/p/3/4/3/0/7/34307.jpg;Fauteuil 1 place fixe YING - Largeur 76cm;;Fauteuils cabriolet;998.333333;599;0;1
13241;http://www.convertiblecenter.fr/img/p/3/1/2/6/8/31268.jpg;Canapé convertible 3 places PADOVA - Largeur 188 cm - Couchage 140 cm;;Convertibles 3 places - 140 cm;2144.317160;1399;2;1
17740;http://www.convertiblecenter.fr/img/p/3/6/5/3/3/36533.jpg;Canapé convertible 3 places CAPRI - Largeur 180 cm - Couchage 140 cm;;Convertibles 3 places - 140 cm;2659.583333;1599;3;1
